,taxon,taxon.id,P25,WS64,WhitmoreFull,WhitmoreSmall,Broad,STEPPS,type,cf
6325,Mauritia-type,3026,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
6326,Mauritiella-type,3027,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
6472,Metroxylon,3332,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
6473,Metroxylon vitiense,3331,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
7714,Phoenix,2403,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
7715,Phoenix reclinata-type,2404,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
8386,Pritchardia,9779,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
9005,Sabal,269,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
9006,Sabal palmetto,5772,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
9398,Serenoa,287,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
88,Acantholimon,5284,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
840,Armeria,24,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
841,Armeria (type A),2939,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
842,Armeria (type B),2940,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
843,Armeria alliacea,3861,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
844,Armeria maritima,569,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
845,Armeria maritima (type A),3857,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
846,Armeria maritima (type B),3855,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
847,Armeria maritima subsp. elongata,3858,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
848,Armeria maritima subsp. maritima,3860,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
849,Armeria maritima-type,3853,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
850,Armeria/Limonium,3856,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,NA,NA
851,Armeria-type,3854,NA,NA,ARMERIA,ARMERIA,ARMERIA,NA,TRUE,NA
856,Artemisia,25,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
857,Artemisia (type A),3869,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
858,Artemisia (type B),3870,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
859,Artemisia (type C),3871,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
860,Artemisia (type D),3872,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
861,Artemisia (type F),3874,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
862,Artemisia campestris-type,3868,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
863,Artemisia cf. A. norvegica,3863,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
864,Artemisia cf. A. norvegica (type 1),3865,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
865,Artemisia cf. A. norvegica (type2),3866,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
866,Artemisia cf. A. tridentata,24645,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
867,Artemisia gmelinii,14996,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
868,Artemisia herba-alba,3875,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
869,Artemisia herba-alba-type,3562,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
870,Artemisia jacutica,5727,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
871,Artemisia ludoviciana,23023,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
872,Artemisia ludoviciana-type,15565,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
873,Artemisia macrantha,5733,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
874,Artemisia norvegica,3867,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
875,Artemisia norvegica-type,3864,Prairie Forbs,Artemisia,ARTEMISIA,ARTEMISIA,ARTEMISIA,ARTEMISIA,NA,NA
