,taxon,MappedTaxon
3637,Daphne/Thymelaea,MALVACEAE
3640,Daphnopsis,MALVACEAE
3641,Daphnopsis cf. D. beta,MALVACEAE
3842,Dirca-type,MALVACEAE
3861,Dombeya-type,MALVACEAE
3880,Drapetes,MALVACEAE
4906,Gossypium,MALVACEAE
4914,Grewia,MALVACEAE
4934,Guazuma,MALVACEAE
4935,Guazuma ulmifolia,MALVACEAE
5039,Hampea,MALVACEAE
5087,Helicteres,MALVACEAE
5088,Heliocarpus,MALVACEAE
5140,Heritiera,MALVACEAE
5175,Hibiscus,MALVACEAE
6020,Luehea,MALVACEAE
6244,Malva,MALVACEAE
6245,Malvaceae,MALVACEAE
6246,Malvaceae (periporate),MALVACEAE
6247,Malvaceae sensu stricto,MALVACEAE
6248,Malvaceae sensu stricto undiff.,MALVACEAE
6249,Malvaceae subf. Bombacoideae,MALVACEAE
6250,Malvaceae subf. Bombacoideae undiff.,MALVACEAE
6251,Malvaceae subf. Sterculioideae,MALVACEAE
6252,Malvaceae subf. Sterculioideae-type,MALVACEAE
6253,Malvaceae subf. Tilioideae,MALVACEAE
6254,Malvaceae subf. Tilioideae cf. Apeiba,MALVACEAE
6255,Malvaceae undiff.,MALVACEAE
6257,Malva-type,MALVACEAE
6661,Mortoniodendron,MALVACEAE
7060,Ochroma,MALVACEAE
7810,Pimelea,MALVACEAE
7919,Plagianthus,MALVACEAE
8460,Pseudobombax,MALVACEAE
9435,Sida,MALVACEAE
9684,Sphaeralcea,MALVACEAE
9685,Sphaeralcea coccinea,MALVACEAE
9686,Sphaeralcea sp.,MALVACEAE
9687,Sphaeralcea/Hibiscus,MALVACEAE
9688,Sphaeralcea-type,MALVACEAE
9727,Spirotheca,MALVACEAE
9776,Stellera,MALVACEAE
9794,Sterculia,MALVACEAE
9796,Sterculia-type,MALVACEAE
10007,Tarasa,MALVACEAE
10168,Thymelaea,MALVACEAE
10169,Thymelaeaceae,MALVACEAE
10170,Thymelaeaceae cf. Daphne,MALVACEAE
10358,Triumfetta-type,MALVACEAE
10792,Waltheria,MALVACEAE
10793,Waltheria indica,MALVACEAE
3207,Comptonia,MYRICACX
3208,Comptonia peregrina,MYRICACX
6780,Myrica,MYRICACX
6781,Myrica cerifera,MYRICACX
6782,Myrica gale,MYRICACX
6784,Myrica/Comptonia peregrina,MYRICACX
6785,Myricaceae,MYRICACX
6786,Myricaceae undiff.,MYRICACX
6789,Myrica-type,MYRICACX
7043,Nyssa,NYSSA
7044,Nyssa sylvatica,NYSSA
7045,Nyssa sylvatica-type,NYSSA
2849,Chamaenerion angustifolium,ONAGRACEAE
2850,Chamaenerion latifolium,ONAGRACEAE
2851,Chamaenerion undiff.,ONAGRACEAE
2855,Chamerion latifolium,ONAGRACEAE
3011,Circaea,ONAGRACEAE
3012,Circaea alpina,ONAGRACEAE
3013,Circaea lutetiana,ONAGRACEAE
4112,Epilobium,ONAGRACEAE
4113,Epilobium angustifolium,ONAGRACEAE
4114,Epilobium angustifolium-type,ONAGRACEAE
4115,Epilobium glandulosum-type,ONAGRACEAE
4116,Epilobium latifolium,ONAGRACEAE
4117,Epilobium undiff.,ONAGRACEAE
4118,Epilobium/Oenothera,ONAGRACEAE
4119,Epilobium/Scrophulariaceae,ONAGRACEAE
4120,Epilobium-type,ONAGRACEAE
4642,Fuchsia,ONAGRACEAE
4643,Fuchsia regia,ONAGRACEAE
4720,Gaura,ONAGRACEAE
6017,Ludwigia,ONAGRACEAE
6018,Ludwigia palustris,ONAGRACEAE
6019,Ludwigia-type,ONAGRACEAE
7083,Oenothera,ONAGRACEAE
7104,Onagraceae,ONAGRACEAE
7105,Onagraceae cf. Epilobium,ONAGRACEAE
7106,Onagraceae cf. Fuchsia,ONAGRACEAE
7107,Onagraceae undiff.,ONAGRACEAE
1875,Carpinus,OSTRYCAR
1876,Carpinus betulus,OSTRYCAR
1877,Carpinus cf. C. betulus,OSTRYCAR
1878,Carpinus cordata,OSTRYCAR
1879,Carpinus orientalis,OSTRYCAR
1880,Carpinus orientalis-type,OSTRYCAR
1881,Carpinus tschonoskii,OSTRYCAR
1882,Carpinus-type,OSTRYCAR
7248,Ostrya,OSTRYCAR
7249,Ostrya carpinifolia,OSTRYCAR
7250,Ostrya carpinifolia/Carpinus orientalis,OSTRYCAR
7251,Ostrya/Carpinus,OSTRYCAR
7252,Ostrya/Carpinus orientalis,OSTRYCAR
7253,Ostrya-type,OSTRYCAR
2557,cf. Pedicularis,SCROPHUL
7458,Pedicularis,SCROPHUL
7459,Pedicularis capitata,SCROPHUL
7460,Pedicularis contorta-type,SCROPHUL
7461,Pedicularis groenlandica-type,SCROPHUL
7462,Pedicularis lanata-type,SCROPHUL
7463,Pedicularis lanceolata,SCROPHUL
7464,Pedicularis langsdorffii,SCROPHUL
7465,Pedicularis palustris-type,SCROPHUL
7466,Pedicularis sylvatica,SCROPHUL
7467,Pedicularis undiff.,SCROPHUL
7468,Pedicularis verticillata,SCROPHUL
7469,Pedicularis-type,SCROPHUL
7755,Picea,PICEAX
7756,Picea abies,PICEAX
7757,Picea abies subsp. abies,PICEAX
7758,Picea abies subsp. obovata,PICEAX
7759,Picea cf. P. glauca,PICEAX
7760,Picea cf. P. mariana,PICEAX
7761,Picea det. P. glauca,PICEAX
7762,Picea det. P. mariana,PICEAX
7763,Picea engelmannii,PICEAX
7765,Picea glauca-type,PICEAX
7766,Picea indet.,PICEAX
7768,Picea mariana-type,PICEAX
7769,Picea omorika,PICEAX
7770,Picea orientalis,PICEAX
7771,Picea rubens-type,PICEAX
7772,Picea sect. Eupicea,PICEAX
7773,Picea sect. Omorika,PICEAX
7774,Picea sitchensis,PICEAX
7775,Picea sp.,PICEAX
7776,Picea undiff.,PICEAX
7764,Picea glauca,PICEAX
7767,Picea mariana,PICEAX
7778,Picea/Pinus undiff.,PINUSX
7826,Pinus,PINUSX
7827,Pinus (type 2),PINUSX
7828,Pinus (type A),PINUSX
7829,Pinus albicaulis-type,PINUSX
7830,Pinus aristata,PINUSX
7831,Pinus aristata-type,PINUSX
7832,Pinus banksiana,PINUSX
7833,Pinus banksiana/P. resinosa,PINUSX
7834,Pinus banksiana/P. resinosa-type,PINUSX
7835,Pinus banksiana-type,PINUSX
7836,Pinus californiarum,PINUSX
7837,Pinus cembra,PINUSX
7838,Pinus cembra-type,PINUSX
7839,Pinus clausa-type,PINUSX
7840,Pinus contorta,PINUSX
7841,Pinus contorta/P. ponderosa,PINUSX
7842,Pinus contorta-type,PINUSX
7843,Pinus det. P. banksiana/P. resinosa,PINUSX
7844,Pinus det. P. strobus,PINUSX
7845,Pinus edulis,PINUSX
7846,Pinus edulis-type,PINUSX
7847,Pinus elliottii,PINUSX
7848,Pinus flexilis,PINUSX
7849,Pinus flexilis-type,PINUSX
7850,Pinus halepensis,PINUSX
7851,Pinus halepensis-type,PINUSX
7852,Pinus jeffreyi-type,PINUSX
7853,Pinus koraiensis,PINUSX
7854,Pinus monophylla,PINUSX
7855,Pinus monticola,PINUSX
7856,Pinus monticola/P. albicaulis,PINUSX
7857,Pinus monticola-type,PINUSX
7858,Pinus mugo,PINUSX
7859,Pinus muricata,PINUSX
7860,Pinus nigra subsp. laricio,PINUSX
7861,Pinus nigra-type,PINUSX
7862,Pinus peuce,PINUSX
7863,Pinus pinaster,PINUSX
7864,Pinus pinaster-type,PINUSX
7865,Pinus pinea-type,PINUSX
7866,Pinus ponderosa,PINUSX
7867,Pinus ponderosa-type,PINUSX
7868,Pinus protocembra,PINUSX
7869,Pinus pumila,PINUSX
7870,Pinus radiata,PINUSX
7871,Pinus remorata,PINUSX
7872,Pinus resinosa,PINUSX
7873,Pinus resinosa-type,PINUSX
7874,Pinus sibirica,PINUSX
7875,Pinus sp.,PINUSX
7876,Pinus strobus,PINUSX
7877,Pinus strobus-type,PINUSX
7880,Pinus subg. Pinus,PINUSX
7881,Pinus subg. Pinus undiff.,PINUSX
7882,Pinus subg. Pinus-type,PINUSX
7883,Pinus subg. Strobus,PINUSX
7884,Pinus subg. Strobus undiff.,PINUSX
7885,Pinus subg. Strobus-type,PINUSX
7886,Pinus subsect. Cembrae,PINUSX
7887,Pinus subsect. Cembrae undiff.,PINUSX
7888,Pinus sylvestris,PINUSX
7889,Pinus sylvestris-type,PINUSX
7890,Pinus torreyana,PINUSX
7891,Pinus undiff.,PINUSX
7893,Pinus-type,PINUSX
521,Anarrhinum,PLANTAGINX
2597,cf. Plantago,PLANTAGINX
5915,Littorella,PLANTAGINX
5917,Littorella uniflora,PLANTAGINX
5918,Littorella-type,PLANTAGINX
6637,Monttea,PLANTAGINX
7929,Plantaginaceae,PLANTAGINX
7930,Plantaginaceae cf. Littorella,PLANTAGINX
7931,Plantaginaceae undiff.,PLANTAGINX
7932,Plantago,PLANTAGINX
7933,Plantago (introduced),PLANTAGINX
7934,Plantago (naturalized),PLANTAGINX
7935,"Plantago (triporate, large)",PLANTAGINX
7936,Plantago (type 1),PLANTAGINX
7937,Plantago africana-type,PLANTAGINX
7938,Plantago albicans,PLANTAGINX
7939,Plantago alpina,PLANTAGINX
7940,Plantago alpina-type,PLANTAGINX
7941,Plantago arenaria,PLANTAGINX
7942,Plantago arenaria-type,PLANTAGINX
7943,Plantago atrata,PLANTAGINX
7944,Plantago atrata-type,PLANTAGINX
7945,Plantago barbata-type,PLANTAGINX
7946,Plantago canescens,PLANTAGINX
7947,Plantago canescens-type,PLANTAGINX
7948,Plantago cf. P. alpina,PLANTAGINX
7949,Plantago cf. P. australis,PLANTAGINX
7950,Plantago cf. P. coronopus,PLANTAGINX
7951,Plantago cf. P. crassifolia,PLANTAGINX
7952,Plantago cf. P. lanceolata,PLANTAGINX
7953,Plantago cf. P. major,PLANTAGINX
7954,Plantago cf. P. media,PLANTAGINX
7955,Plantago cf. P. tenuiflora,PLANTAGINX
7956,Plantago cf. P. turficola,PLANTAGINX
7957,Plantago coronopus,PLANTAGINX
7958,Plantago coronopus sensu stricto,PLANTAGINX
7959,Plantago coronopus-type,PLANTAGINX
7960,Plantago cylindrica-type,PLANTAGINX
7961,Plantago holosteum-type,PLANTAGINX
7963,Plantago lagopus-type,PLANTAGINX
7964,Plantago lanceolata,PLANTAGINX
7965,Plantago lanceolata-type,PLANTAGINX
7966,Plantago major,PLANTAGINX
7967,Plantago major/P. maritima,PLANTAGINX
7968,Plantago major/P. media,PLANTAGINX
7969,Plantago major/P. media-type,PLANTAGINX
7970,Plantago major-type,PLANTAGINX
7971,Plantago maritima,PLANTAGINX
7972,Plantago maritima sensu lato,PLANTAGINX
7973,Plantago maritima sensu stricto,PLANTAGINX
7974,Plantago maritima/P. alpina,PLANTAGINX
7975,Plantago maritima-type,PLANTAGINX
7976,Plantago media,PLANTAGINX
7977,Plantago media-type,PLANTAGINX
7979,Plantago muelleri-type,PLANTAGINX
7980,Plantago officinarum,PLANTAGINX
7981,Plantago ovata,PLANTAGINX
7982,Plantago ovata-type,PLANTAGINX
7984,Plantago radicata-type,PLANTAGINX
7985,Plantago rhodosperma,PLANTAGINX
7986,Plantago rigida-type,PLANTAGINX
7987,Plantago rugelii,PLANTAGINX
7988,Plantago sericea,PLANTAGINX
7989,Plantago sericea-type,PLANTAGINX
7990,Plantago tasmanica,PLANTAGINX
7991,Plantago tenuiflora,PLANTAGINX
7992,Plantago tenuiflora-type,PLANTAGINX
7993,Plantago undiff.,PLANTAGINX
7995,Plantago-type,PLANTAGINX
9298,Scoparia,PLANTAGINX
7997,Platanus,PLATANUS
7998,Platanus occidentalis,PLATANUS
282,Agropyron-type,POACEAE
562,Andropogon,POACEAE
833,Aristida,POACEAE
834,Aristida adscensionis,POACEAE
835,Aristida sp.,POACEAE
1121,Avena,POACEAE
1122,Avena sativa,POACEAE
1123,Avena/Triticum,POACEAE
1124,Avena/Triticum undiff.,POACEAE
1125,Avena/Triticum-type,POACEAE
1126,Avena-type,POACEAE
1462,Bothriochloa,POACEAE
1463,Bothriochloa barbinodis,POACEAE
1485,Bouteloua,POACEAE
1486,Bouteloua barbata,POACEAE
1487,Bouteloua chondrosioides,POACEAE
1488,Bouteloua curtipendula,POACEAE
1489,Bouteloua eriopoda,POACEAE
1490,Bouteloua gracilis,POACEAE
2099,Cerealia,POACEAE
2100,Cerealia cf. Avena,POACEAE
2101,Cerealia cf. Secale,POACEAE
2102,Cerealia cf. Triticum,POACEAE
2103,Cerealia cf. Triticum dicoccon,POACEAE
2104,Cerealia undiff.,POACEAE
2105,Cerealia-type,POACEAE
2106,Cerealia-type cf. Hordeum,POACEAE
2107,Cerealia-type undiff.,POACEAE
3328,Cortaderia,POACEAE
3329,Cortaderia sp.,POACEAE
3622,Dactylis-type,POACEAE
3646,Dasyochloa,POACEAE
3647,Dasyochloa pulchella,POACEAE
3691,Deschampsia,POACEAE
3692,Deschampsia antarctica,POACEAE
3752,Digitaria,POACEAE
3753,Digitaria californica,POACEAE
4009,Elymus,POACEAE
4010,Elymus elymoides,POACEAE
4011,Elymus-type,POACEAE
4056,Enneapogon,POACEAE
4167,Eragrostis,POACEAE
4246,Erioneuron,POACEAE
4541,Festuca-type,POACEAE
4868,Glyceria,POACEAE
4869,Glyceria maxima,POACEAE
4870,Glyceria-type,POACEAE
5143,Hesperostipa,POACEAE
5151,Heteropogon,POACEAE
5228,Hordeum,POACEAE
5229,Hordeum/Secale,POACEAE
5230,Hordeum/Triticum,POACEAE
5231,Hordeum-type,POACEAE
5381,Hystrix,POACEAE
5382,Hystrix (type A),POACEAE
5383,Hystrix (type B),POACEAE
5752,Leptochloa,POACEAE
6132,Lygeum,POACEAE
6133,Lygeum-type,POACEAE
6872,Nassella,POACEAE
7217,Oryza-type,POACEAE
7336,Panicum,POACEAE
7684,Phleum-type,POACEAE
7718,Phragmites,POACEAE
7719,Phragmites australis,POACEAE
7720,Phragmites australis-type,POACEAE
7721,Phragmites-type,POACEAE
8067,Poaceae,POACEAE
8068,Poaceae (<20 åµm),POACEAE
8069,Poaceae (<21 µm),POACEAE
8070,Poaceae (<40 åµm),POACEAE
8071,Poaceae (<50 µm),POACEAE
8072,Poaceae (>35 åµm),POACEAE
8073,Poaceae (>40 åµm),POACEAE
8074,Poaceae (>50 µm),POACEAE
8075,Poaceae (20-25 åµm),POACEAE
8076,Poaceae (25-30 åµm),POACEAE
8077,Poaceae (30-35 åµm),POACEAE
8078,"Poaceae (aspidate pore, >30 åµm)",POACEAE
8079,"Poaceae (aspidate pore, 10-15 åµm)",POACEAE
8080,"Poaceae (aspidate pore, 20-25 åµm)",POACEAE
8081,"Poaceae (flat pore, >30 åµm)",POACEAE
8082,"Poaceae (flat pore, 10-15 åµm)",POACEAE
8083,"Poaceae (flat pore, 20-25 åµm)",POACEAE
8084,Poaceae (type 1),POACEAE
8085,"Poaceae (type 1, 18 µm)",POACEAE
8086,Poaceae (type 2),POACEAE
8087,"Poaceae (type 2, 21 µm)",POACEAE
8088,Poaceae (type 3),POACEAE
8089,"Poaceae (type 3, 24 µm)",POACEAE
8090,Poaceae (type 4),POACEAE
8091,"Poaceae (type 4, 26 µm)",POACEAE
8092,Poaceae (type 5),POACEAE
8093,"Poaceae (type 5, 28 µm)",POACEAE
8094,Poaceae (type 6),POACEAE
8095,"Poaceae (type 6, 31 µm)",POACEAE
8096,Poaceae (type 7),POACEAE
8097,"Poaceae (type 7, 35 µm)",POACEAE
8098,Poaceae (type 8),POACEAE
8099,Poaceae (type 92),POACEAE
8100,Poaceae (type 93),POACEAE
8101,Poaceae cf. Zea,POACEAE
8102,Poaceae undiff.,POACEAE
9339,Secale,POACEAE
9340,Secale cereale,POACEAE
9341,Secale-type,POACEAE
9419,Setaria,POACEAE
9733,Sporobolus,POACEAE
10281,Tridens,POACEAE
10354,Triticum,POACEAE
10355,Triticum undiff.,POACEAE
10356,Triticum-type,POACEAE
10861,Zea,POACEAE
10862,Zea mays,POACEAE
10864,Zea undiff.,POACEAE
10875,Zizania,POACEAE
4831,Gilia,POLEMONI
4832,Gilia sp.,POLEMONI
4833,Gilia-type,POLEMONI
5760,Leptosiphon,POLEMONI
5863,Linanthus,POLEMONI
6510,Microsteris,POLEMONI
6881,Navarretia,POLEMONI
7686,Phlox,POLEMONI
7687,Phlox cf. P. hoodii,POLEMONI
7688,Phlox pilosa,POLEMONI
7689,Phlox pilosa-type,POLEMONI
7690,Phlox sibirica,POLEMONI
7691,Phlox-type,POLEMONI
8138,Polemoniaceae,POLEMONI
8139,Polemoniaceae aff. Gilia,POLEMONI
8140,Polemoniaceae undiff.,POLEMONI
8141,Polemonium,POLEMONI
8142,Polemonium acutiflorum,POLEMONI
8143,Polemonium boreale,POLEMONI
8144,Polemonium caeruleum,POLEMONI
8145,Polemonium/Gilia,POLEMONI
8146,Polemonium-type,POLEMONI
161,Aconogonon,POLYGONAX
162,Aconogonon alaskanum,POLYGONAX
163,Aconogonon alpinum,POLYGONAX
164,Aconogonon alpinum-type,POLYGONAX
165,Aconogonon ochreatum,POLYGONAX
166,Aconogonon tripterocarpum,POLYGONAX
1094,Atraphaxis,POLYGONAX
1357,Bistorta,POLYGONAX
1358,Bistorta bistortoides,POLYGONAX
1359,Bistorta bistortoides-type,POLYGONAX
1361,Bistorta elliptica,POLYGONAX
1362,Bistorta officinalis,POLYGONAX
1364,Bistorta officinalis-type,POLYGONAX
1365,Bistorta undiff.,POLYGONAX
1695,Calligonum,POLYGONAX
1696,Calligonum aphyllum,POLYGONAX
1697,Calligonum comosum,POLYGONAX
1698,Calligonum/Pteropyrum,POLYGONAX
1699,Calligonum-type,POLYGONAX
2330,cf. Fagopyrum,POLYGONAX
2584,cf. Persicaria,POLYGONAX
2964,Chorizanthe,POLYGONAX
2965,Chorizanthe sp.,POLYGONAX
3130,Coccoloba,POLYGONAX
4024,Emex,POLYGONAX
4243,Eriogonum,POLYGONAX
4244,Eriogonum cf. E. wrightii,POLYGONAX
4476,Fagopyrum,POLYGONAX
4477,Fagopyrum esculentum,POLYGONAX
4479,Fagopyrum tataricum,POLYGONAX
4480,Fagopyrum undiff.,POLYGONAX
4507,Fallopia,POLYGONAX
4508,Fallopia cf. F. scandens,POLYGONAX
4509,Fallopia convolvulus,POLYGONAX
4510,Fallopia convolvulus/F. dumetorum,POLYGONAX
4511,Fallopia convolvulus-type,POLYGONAX
4512,Fallopia scandens-type,POLYGONAX
4967,Gymnopodium,POLYGONAX
5542,Koenigia,POLYGONAX
5543,Koenigia islandica,POLYGONAX
6669,Muehlenbeckia,POLYGONAX
6670,Muehlenbeckia-type,POLYGONAX
7574,Persicaria,POLYGONAX
7575,Persicaria amphibia,POLYGONAX
7576,Persicaria amphibia-type,POLYGONAX
7577,Persicaria cf. P. hydropiperoides,POLYGONAX
7578,Persicaria cf. P. lapathifolia,POLYGONAX
7579,Persicaria cf. P. maculosa,POLYGONAX
7580,Persicaria hydropiper,POLYGONAX
7581,Persicaria hydropiper-type,POLYGONAX
7582,Persicaria lapathifolia,POLYGONAX
7583,Persicaria lapathifolia-type,POLYGONAX
7584,Persicaria maculosa,POLYGONAX
7585,Persicaria maculosa-type,POLYGONAX
7586,Persicaria nepalensis-type,POLYGONAX
7587,Persicaria sagittata-type,POLYGONAX
7588,Persicaria senegalensis-type,POLYGONAX
8043,Pleuropteropyrum,POLYGONAX
8160,Polygonaceae,POLYGONAX
8161,Polygonaceae (tricolporate),POLYGONAX
8162,Polygonaceae cf. Bistorta officinalis,POLYGONAX
8163,Polygonaceae cf. Bistorta officinalis-type,POLYGONAX
8164,Polygonaceae cf. Muehlenbeckia,POLYGONAX
8166,Polygonaceae undiff.,POLYGONAX
8167,Polygonatum,POLYGONAX
8168,Polygonatum verticillatum,POLYGONAX
8169,Polygonatum verticillatum-type,POLYGONAX
8170,Polygonatum-type,POLYGONAX
8171,Polygonella,POLYGONAX
8172,Polygonella fimbriata/P. myriophylla,POLYGONAX
8173,Polygonella fimbriata-type,POLYGONAX
8174,Polygonella polygama-type,POLYGONAX
8537,Pteropyrum,POLYGONAX
8758,Reynoutria,POLYGONAX
8778,Rheum,POLYGONAX
8779,Rheum officinale,POLYGONAX
9905,Symmeria,POLYGONAX
9906,Symmeria-type,POLYGONAX
10352,Triplaris,POLYGONAX
2604,cf. Polygonum,POLYGONAX
2605,cf. Polygonum amphibium,POLYGONAX
2606,cf. Polygonum bistorta,POLYGONAX
2607,cf. Polygonum bistorta-type,POLYGONAX
2608,cf. Polygonum bistortoides,POLYGONAX
2609,cf. Polygonum sensu lato,POLYGONAX
8175,Polygonum,POLYGONAX
8176,Polygonum (tricolporate),POLYGONAX
8182,Polygonum aviculare,POLYGONAX
8183,Polygonum aviculare-type,POLYGONAX
8189,Polygonum californicum,POLYGONAX
8190,Polygonum californicum-type,POLYGONAX
8197,Polygonum cognatum-type,POLYGONAX
8201,Polygonum czukavinae,POLYGONAX
8212,Polygonum oxyspermum,POLYGONAX
8213,Polygonum oxyspermum subsp. raii,POLYGONAX
8214,Polygonum oxyspermum-type,POLYGONAX
8218,Polygonum ramosissimum-type,POLYGONAX
8220,Polygonum sawatchense,POLYGONAX
8225,Polygonum sect. Duravia,POLYGONAX
8227,Polygonum sect. Polygonum,POLYGONAX
8229,Polygonum sensu lato,POLYGONAX
8230,Polygonum sensu lato undiff.,POLYGONAX
8231,Polygonum tenue-type,POLYGONAX
8233,Polygonum undiff.,POLYGONAX
8236,Polygonum-type sensu lato,POLYGONAX
1360,Bistorta cf. B. vivipara,POLYGONAX
1363,Bistorta officinalis/B. vivipara,POLYGONAX
1366,Bistorta vivipara,POLYGONAX
1367,Bistorta vivipara-type,POLYGONAX
175,Acrostichum,POLYPOD
176,Acrostichum aureum,POLYPOD
177,Acrostichum-type,POLYPOD
197,Adiantaceae,POLYPOD
198,Adiantaceae: Pityrogramma-type,POLYPOD
199,Adiantaceae: Pteris-type,POLYPOD
200,Adiantum,POLYPOD
201,Adiantum pedatum,POLYPOD
202,Adiantum-type,POLYPOD
403,Alsophila,POLYPOD
404,Alsophila cf. A. elegans,POLYPOD
405,Alsophila setosa,POLYPOD
406,Alsophila undiff.,POLYPOD
565,Anemia,POLYPOD
566,Anemiaceae,POLYPOD
602,Anogramma,POLYPOD
603,Anogramma leptophylla,POLYPOD
931,Aspidium,POLYPOD
934,Aspleniaceae,POLYPOD
935,Asplenium,POLYPOD
936,Asplenium australasicum,POLYPOD
937,Asplenium rhizophyllum,POLYPOD
938,Asplenium subg. Phyllitis,POLYPOD
939,Asplenium trichomanes-ramosum,POLYPOD
940,Asplenium viride,POLYPOD
941,Asplenium-type,POLYPOD
1075,Athyrium,POLYPOD
1076,Athyrium alpestre,POLYPOD
1077,Athyrium alpestre-type,POLYPOD
1078,Athyrium crenatum,POLYPOD
1079,Athyrium distentifolium,POLYPOD
1080,Athyrium distentifolium-type,POLYPOD
1081,Athyrium filix-femina,POLYPOD
1082,Athyrium thelypterioides,POLYPOD
1083,Athyrium undiff.,POLYPOD
1084,Athyrium/Woodsia,POLYPOD
1085,Athyrium-type,POLYPOD
1146,Azolla,POLYPOD
1147,Azolla nilotica,POLYPOD
1148,Azolla/Salvinia,POLYPOD
1234,Belvisia,POLYPOD
1333,Bilderdykia convolvulus,POLYPOD
1334,Bilderdykia convolvulus/B. dumetorum,POLYPOD
1335,Bilderdykia convolvulus-type,POLYPOD
1391,Blechnaceae,POLYPOD
1392,Blechnum,POLYPOD
1393,Blechnum cf. B. imperiale,POLYPOD
1394,Blechnum cf. B. tabulare,POLYPOD
1395,Blechnum imperiale-type,POLYPOD
1396,Blechnum serrulatum,POLYPOD
1397,Blechnum spicant,POLYPOD
1398,Blechnum tabulare-type,POLYPOD
1399,Blechnum-type,POLYPOD
1466,Botrychium,POLYPOD
1467,Botrychium boreale,POLYPOD
1468,Botrychium boreale-type,POLYPOD
1469,Botrychium cf. B. dissectum,POLYPOD
1470,Botrychium cf. B. lunaria,POLYPOD
1471,Botrychium cf. B. multifidum,POLYPOD
1472,Botrychium lanceolatum,POLYPOD
1473,Botrychium lunaria,POLYPOD
1474,Botrychium lunaria-type,POLYPOD
1475,Botrychium multifidum,POLYPOD
1476,Botrychium simplex,POLYPOD
1477,Botrychium simplex-type,POLYPOD
1478,Botrychium undiff.,POLYPOD
1479,Botrychium virginianum,POLYPOD
1480,Botrychium-type,POLYPOD
1775,Campyloneurum,POLYPOD
2084,Ceratopteris,POLYPOD
2085,Ceratopteris cf. C. thalictroides,POLYPOD
2137,cf. Adiantum,POLYPOD
2173,cf. Asplenium,POLYPOD
2177,cf. Athyrium,POLYPOD
2196,cf. Blechnum,POLYPOD
2204,cf. Botrychium,POLYPOD
2273,cf. Cryptogramma crispa,POLYPOD
2278,cf. Cyatheaceae,POLYPOD
2284,cf. Cystopteris,POLYPOD
2288,cf. Dennstaedtia,POLYPOD
2305,cf. Dryopteris,POLYPOD
2306,cf. Dryopteris filix-mas,POLYPOD
2351,cf. Gleichenia,POLYPOD
2358,cf. Gymnocarpium,POLYPOD
2529,cf. Onoclea sensibilis,POLYPOD
2532,cf. Ophioglossum,POLYPOD
2533,cf. Ophioglossum vulgatum,POLYPOD
2540,cf. Osmunda,POLYPOD
2610,cf. Polypodium,POLYPOD
2622,cf. Pteridium,POLYPOD
2769,cf. Thelypteris palustris,POLYPOD
2887,Cheilanthes,POLYPOD
2888,Cheilanthes alabamensis,POLYPOD
2889,Cheilanthes-type,POLYPOD
2992,Cibotiaceae,POLYPOD
2993,Cibotium,POLYPOD
3122,Cnemidaria,POLYPOD
3123,Cnemidaria horrida-type,POLYPOD
3124,Cnemidaria/Cyathea,POLYPOD
3125,Cnemidaria/Cyathea undiff.,POLYPOD
3126,Cnemidaria/Hemitelia,POLYPOD
3228,Coniogramme,POLYPOD
3451,Cryptogramma,POLYPOD
3452,Cryptogramma acrostichoides,POLYPOD
3453,Cryptogramma acrostichoides/C. stelleri,POLYPOD
3454,Cryptogramma cf. C. stelleri,POLYPOD
3455,Cryptogramma crispa,POLYPOD
3456,Cryptogramma-type,POLYPOD
3464,Ctenitis,POLYPOD
3471,Culcita,POLYPOD
3472,Culcita coniifolia-type,POLYPOD
3473,Culcita dubia,POLYPOD
3474,Culcitaceae,POLYPOD
3520,Cyathea,POLYPOD
3521,Cyathea (25 åµm),POLYPOD
3522,Cyathea (35 åµm),POLYPOD
3523,Cyathea (type I),POLYPOD
3524,Cyathea (type II),POLYPOD
3525,Cyathea cf. C. delgadii,POLYPOD
3526,Cyathea cf. C. schanschin,POLYPOD
3527,Cyathea horrida-type,POLYPOD
3528,Cyathea horrida-type,POLYPOD
3529,Cyathea undiff.,POLYPOD
3530,Cyatheaceae,POLYPOD
3531,Cyatheaceae undiff.,POLYPOD
3532,Cyatheales,POLYPOD
3533,Cyathea-type,POLYPOD
3599,Cystopteris,POLYPOD
3600,Cystopteris bulbifera,POLYPOD
3601,Cystopteris fragilis,POLYPOD
3602,Cystopteris fragilis-type,POLYPOD
3603,Cystopteris montana-type,POLYPOD
3604,Cystopteris sudetica,POLYPOD
3605,Cystopteris undiff.,POLYPOD
3606,Cystopteris-type,POLYPOD
3661,Davallia,POLYPOD
3662,Davalliaceae,POLYPOD
3663,Davalliaceae/Polypodiaceae,POLYPOD
3680,Dennstaedtia,POLYPOD
3681,Dennstaedtiaceae,POLYPOD
3682,Dennstaedtiaceae (monolete),POLYPOD
3683,Dennstaedtiaceae (trilete),POLYPOD
3684,Dennstaedtiaceae: Hypolepis-type,POLYPOD
3685,Dennstaedtiaceae: Pteridium-type,POLYPOD
3686,Dennstaedtia-type,POLYPOD
3687,Deparia,POLYPOD
3688,Deparia acrostichoides,POLYPOD
3718,Dicksonia,POLYPOD
3719,Dicksonia antarctica,POLYPOD
3720,Dicksonia sellowiana,POLYPOD
3721,Dicksoniaceae,POLYPOD
